experiment,impl,n,blockSize,param,median_ms,min_ms
banks,shared-efficient,16777216,64,0,1.682784,1.680352
banks,shared-efficient,16777216,64,1,1.233152,1.229152
banks,shared-efficient,16777216,64,2,1.291232,1.289792
banks,shared-efficient,16777216,64,3,1.352416,1.350144
banks,shared-efficient,16777216,64,4,1.260000,1.257312
banks,shared-efficient,16777216,64,5,1.162080,1.158624
banks,shared-efficient,16777216,64,6,1.320224,1.318272
banks,shared-efficient,16777216,64,7,1.616736,1.612640
banks,shared-efficient,16777216,128,0,1.597856,1.595072
banks,shared-efficient,16777216,128,1,1.197984,1.193696
banks,shared-efficient,16777216,128,2,1.189152,1.187808
banks,shared-efficient,16777216,128,3,1.256000,1.251808
banks,shared-efficient,16777216,128,4,1.187104,1.185536
banks,shared-efficient,16777216,128,5,1.146944,1.145312
banks,shared-efficient,16777216,128,6,1.182688,1.178432
banks,shared-efficient,16777216,128,7,1.296064,1.294720
banks,shared-efficient,16777216,256,0,1.570368,1.569312
banks,shared-efficient,16777216,256,1,1.260160,1.256512
banks,shared-efficient,16777216,256,2,1.238976,1.236480
banks,shared-efficient,16777216,256,3,1.286464,1.284960
banks,shared-efficient,16777216,256,4,1.242016,1.237376
banks,shared-efficient,16777216,256,5,1.204160,1.202592
banks,shared-efficient,16777216,256,6,1.231360,1.230208
banks,shared-efficient,16777216,256,7,1.281440,1.277312
banks,shared-efficient,16777216,512,0,1.693024,1.692448
banks,shared-efficient,16777216,512,1,1.414016,1.413216
banks,shared-efficient,16777216,512,2,1.385824,1.382752
banks,shared-efficient,16777216,512,3,1.436064,1.433856
banks,shared-efficient,16777216,512,4,1.381344,1.378592
banks,shared-efficient,16777216,512,5,1.347872,1.345632
banks,shared-efficient,16777216,512,6,1.375264,1.371872
banks,shared-efficient,16777216,512,7,1.431136,1.427712
banks,shared-efficient,16777216,1024,0,2.006240,2.004576
banks,shared-efficient,16777216,1024,1,1.673408,1.666432
banks,shared-efficient,16777216,1024,2,1.611040,1.605984
banks,shared-efficient,16777216,1024,3,1.682880,1.679648
banks,shared-efficient,16777216,1024,4,1.596736,1.588672
banks,shared-efficient,16777216,1024,5,1.544384,1.540704
banks,shared-efficient,16777216,1024,6,1.573856,1.569312
banks,shared-efficient,16777216,1024,7,1.678880,1.667776
