experiment,impl,n,blockSize,param,median_ms,min_ms
blocksize,naive,16777216,16,0,34.509247,33.378944
blocksize,efficient,16777216,16,0,7.360576,7.323904
blocksize,efficient-unoptimized,16777216,16,0,50.090656,50.075520
blocksize,shared-naive,16777216,16,0,3.483680,3.478176
blocksize,shared-efficient,16777216,16,0,3.031520,3.028544
blocksize,efficient-compact,16777216,16,0,11.212288,11.188672
blocksize,naive,16777216,32,0,18.085535,18.073215
blocksize,efficient,16777216,32,0,7.440544,7.412352
blocksize,efficient-unoptimized,16777216,32,0,26.061888,26.049025
blocksize,shared-naive,16777216,32,0,1.766432,1.762816
blocksize,shared-efficient,16777216,32,0,1.725216,1.720992
blocksize,efficient-compact,16777216,32,0,9.923104,9.909792
blocksize,naive,16777216,64,0,14.288704,14.272288
blocksize,efficient,16777216,64,0,7.733792,7.704000
blocksize,efficient-unoptimized,16777216,64,0,14.123488,14.117472
blocksize,shared-naive,16777216,64,0,1.203648,1.200768
blocksize,shared-efficient,16777216,64,0,1.261408,1.258880
blocksize,efficient-compact,16777216,64,0,9.931456,9.897440
blocksize,naive,16777216,128,0,14.253056,14.251136
blocksize,efficient,16777216,128,0,7.720864,7.676576
blocksize,efficient-unoptimized,16777216,128,0,10.656064,10.654016
blocksize,shared-naive,16777216,128,0,1.187328,1.185632
blocksize,shared-efficient,16777216,128,0,1.188064,1.187200
blocksize,efficient-compact,16777216,128,0,9.869632,9.849184
blocksize,naive,16777216,256,0,14.238656,14.230656
blocksize,efficient,16777216,256,0,7.672672,7.647968
blocksize,efficient-unoptimized,16777216,256,0,10.837952,10.834016
blocksize,shared-naive,16777216,256,0,1.235808,1.231648
blocksize,shared-efficient,16777216,256,0,1.239808,1.237536
blocksize,efficient-compact,16777216,256,0,9.832192,9.814624
blocksize,naive,16777216,512,0,14.236832,14.230080
blocksize,efficient,16777216,512,0,7.720992,7.689696
blocksize,efficient-unoptimized,16777216,512,0,12.063008,12.041280
blocksize,shared-naive,16777216,512,0,1.382816,1.380416
blocksize,shared-efficient,16777216,512,0,1.382560,1.378272
blocksize,efficient-compact,16777216,512,0,9.867072,9.833152
blocksize,naive,16777216,1024,0,14.220512,14.211584
blocksize,efficient,16777216,1024,0,7.965568,7.912768
blocksize,efficient-unoptimized,16777216,1024,0,14.173568,14.132000
blocksize,shared-naive,16777216,1024,0,1.716032,1.711968
blocksize,shared-efficient,16777216,1024,0,1.593632,1.590432
blocksize,efficient-compact,16777216,1024,0,10.122656,10.095936
