experiment,impl,n,blockSize,param,median_ms,min_ms
compact,cpu-without-scan,256,0,0,0.000296,0.000225
compact,cpu-with-scan,256,0,0,0.000522,0.000499
compact,efficient,256,256,0,0.087136,0.085184
compact,thrust,256,0,0,0.033152,0.032672
compact,cpu-without-scan,253,0,0,0.000379,0.000269
compact,cpu-with-scan,253,0,0,0.000554,0.000517
compact,efficient,253,256,0,0.092192,0.086656
compact,thrust,253,0,0,0.036512,0.034368
compact,cpu-without-scan,512,0,0,0.000649,0.000497
compact,cpu-with-scan,512,0,0,0.001138,0.001012
compact,efficient,512,256,0,0.099488,0.092448
compact,thrust,512,0,0,0.034912,0.033920
compact,cpu-without-scan,509,0,0,0.000698,0.000493
compact,cpu-with-scan,509,0,0,0.001076,0.001001
compact,efficient,509,256,0,0.097184,0.093536
compact,thrust,509,0,0,0.036352,0.033472
compact,cpu-without-scan,1024,0,0,0.001500,0.001255
compact,cpu-with-scan,1024,0,0,0.002797,0.002459
compact,efficient,1024,256,0,0.104768,0.098048
compact,thrust,1024,0,0,0.035488,0.032640
compact,cpu-without-scan,1021,0,0,0.001335,0.001007
compact,cpu-with-scan,1021,0,0,0.002582,0.002197
compact,efficient,1021,256,0,0.101088,0.096608
compact,thrust,1021,0,0,0.036832,0.035232
compact,cpu-without-scan,2048,0,0,0.003860,0.003149
compact,cpu-with-scan,2048,0,0,0.008203,0.005000
compact,efficient,2048,256,0,0.113888,0.106400
compact,thrust,2048,0,0,0.036128,0.034144
compact,cpu-without-scan,2045,0,0,0.003462,0.002854
compact,cpu-with-scan,2045,0,0,0.011016,0.005283
compact,efficient,2045,256,0,0.107232,0.102048
compact,thrust,2045,0,0,0.039456,0.036544
compact,cpu-without-scan,4096,0,0,0.009653,0.007218
compact,cpu-with-scan,4096,0,0,0.014215,0.012274
compact,efficient,4096,256,0,0.112256,0.102976
compact,thrust,4096,0,0,0.039904,0.036128
compact,cpu-without-scan,4093,0,0,0.012050,0.010436
compact,cpu-with-scan,4093,0,0,0.015246,0.012742
compact,efficient,4093,256,0,0.110560,0.105376
compact,thrust,4093,0,0,0.042528,0.036224
compact,cpu-without-scan,8192,0,0,0.021013,0.019005
compact,cpu-with-scan,8192,0,0,0.029699,0.028702
compact,efficient,8192,256,0,0.115296,0.104672
compact,thrust,8192,0,0,0.037184,0.035680
compact,cpu-without-scan,8189,0,0,0.021515,0.019821
compact,cpu-with-scan,8189,0,0,0.032042,0.030905
compact,efficient,8189,256,0,0.141984,0.119392
compact,thrust,8189,0,0,0.047936,0.038848
compact,cpu-without-scan,16384,0,0,0.051103,0.049777
compact,cpu-with-scan,16384,0,0,0.063660,0.063090
compact,efficient,16384,256,0,0.121792,0.115936
compact,thrust,16384,0,0,0.039360,0.036608
compact,cpu-without-scan,16381,0,0,0.050123,0.048052
compact,cpu-with-scan,16381,0,0,0.060158,0.059447
compact,efficient,16381,256,0,0.123872,0.107328
compact,thrust,16381,0,0,0.039744,0.037472
compact,cpu-without-scan,32768,0,0,0.096446,0.087613
compact,cpu-with-scan,32768,0,0,0.132053,0.131348
compact,efficient,32768,256,0,0.121344,0.112416
compact,thrust,32768,0,0,0.039712,0.037856
compact,cpu-without-scan,32765,0,0,0.091506,0.090301
compact,cpu-with-scan,32765,0,0,0.129128,0.128508
compact,efficient,32765,256,0,0.116928,0.109440
compact,thrust,32765,0,0,0.040736,0.039104
compact,cpu-without-scan,65536,0,0,0.213176,0.206897
compact,cpu-with-scan,65536,0,0,0.275907,0.267279
compact,efficient,65536,256,0,0.111264,0.109248
compact,thrust,65536,0,0,0.042368,0.039648
compact,cpu-without-scan,65533,0,0,0.203416,0.192394
compact,cpu-with-scan,65533,0,0,0.254219,0.245580
compact,efficient,65533,256,0,0.116416,0.111552
compact,thrust,65533,0,0,0.048928,0.044256
compact,cpu-without-scan,131072,0,0,0.433334,0.400262
compact,cpu-with-scan,131072,0,0,0.565854,0.552213
compact,efficient,131072,256,0,0.112992,0.110112
compact,thrust,131072,0,0,0.049120,0.043904
compact,cpu-without-scan,131069,0,0,0.395057,0.360201
compact,cpu-with-scan,131069,0,0,0.551246,0.505889
compact,efficient,131069,256,0,0.113280,0.109856
compact,thrust,131069,0,0,0.048864,0.046400
compact,cpu-without-scan,262144,0,0,0.800550,0.729558
compact,cpu-with-scan,262144,0,0,1.317019,1.248523
compact,efficient,262144,256,0,0.133408,0.127072
compact,thrust,262144,0,0,0.049088,0.047808
compact,cpu-without-scan,262141,0,0,0.803814,0.765964
compact,cpu-with-scan,262141,0,0,2.414388,2.317233
compact,efficient,262141,256,0,0.133568,0.126272
compact,thrust,262141,0,0,0.053312,0.050976
compact,cpu-without-scan,524288,0,0,1.586127,1.501270
compact,cpu-with-scan,524288,0,0,2.323634,2.177708
compact,efficient,524288,256,0,0.190880,0.186464
compact,thrust,524288,0,0,0.272896,0.258336
compact,cpu-without-scan,524285,0,0,1.735033,1.677068
compact,cpu-with-scan,524285,0,0,2.994784,2.451871
compact,efficient,524285,256,0,0.192480,0.187488
compact,thrust,524285,0,0,0.281056,0.276704
compact,cpu-without-scan,1048576,0,0,3.404000,3.379953
compact,cpu-with-scan,1048576,0,0,4.921994,4.793094
