experiment,impl,n,blockSize,param,median_ms,min_ms
npot,cpu,500000,0,0,1.737759,1.674371
npot,efficient,500000,256,0,0.468992,0.467072
npot,efficient-unoptimized,500000,256,0,2.514528,2.512864
npot,thrust,500000,0,0,9.718848,9.650368
npot,shared-efficient,500000,128,0,0.783264,0.781504
npot,cpu,750000,0,0,2.467148,2.356859
npot,efficient,750000,256,0,0.669504,0.667584
npot,efficient-unoptimized,750000,256,0,2.842624,2.838368
npot,thrust,750000,0,0,7.922240,7.708640
npot,shared-efficient,750000,128,0,0.579520,0.578240
npot,cpu,1000000,0,0,3.484663,3.409827
npot,efficient,1000000,256,0,0.406496,0.405504
npot,efficient-unoptimized,1000000,256,0,2.011136,2.010432
npot,thrust,1000000,0,0,7.641088,7.606272
npot,shared-efficient,1000000,128,0,0.531904,0.527040
npot,cpu,1250000,0,0,4.065687,3.717242
npot,efficient,1250000,256,0,0.992288,0.991008
npot,efficient-unoptimized,1250000,256,0,4.210784,4.209024
npot,thrust,1250000,0,0,9.392128,9.309984
npot,shared-efficient,1250000,128,0,0.638432,0.634720
npot,cpu,1500000,0,0,4.914475,4.849156
npot,efficient,1500000,256,0,0.991232,0.987488
npot,efficient-unoptimized,1500000,256,0,4.210656,4.208192
npot,thrust,1500000,0,0,11.169920,11.137024
npot,shared-efficient,1500000,128,0,0.746560,0.742688
npot,cpu,1750000,0,0,5.992671,5.757819
npot,efficient,1750000,256,0,0.987776,0.986848
npot,efficient-unoptimized,1750000,256,0,4.208640,4.207968
npot,thrust,1750000,0,0,12.858240,12.810336
npot,shared-efficient,1750000,128,0,0.850432,0.847488
npot,cpu,2000000,0,0,6.783397,6.699542
npot,efficient,2000000,256,0,0.990976,0.987584
npot,efficient-unoptimized,2000000,256,0,4.209888,4.204960
npot,thrust,2000000,0,0,14.696160,14.622720
npot,shared-efficient,2000000,128,0,0.960768,0.953888
npot,cpu,2250000,0,0,7.946492,7.664149
npot,efficient,2250000,256,0,1.966496,1.955424
npot,efficient-unoptimized,2250000,256,0,8.599552,8.594432
npot,thrust,2250000,0,0,16.468063,16.421345
npot,shared-efficient,2250000,128,0,1.061568,1.060352
npot,cpu,2500000,0,0,8.767131,8.504886
npot,efficient,2500000,256,0,1.964416,1.954624
npot,efficient-unoptimized,2500000,256,0,8.600576,8.596480
npot,thrust,2500000,0,0,18.132992,17.985537
npot,shared-efficient,2500000,128,0,1.187328,1.184384
