experiment,impl,n,blockSize,param,median_ms,min_ms
scan,cpu,256,0,0,0.000153,0.000149
scan,naive,256,256,0,0.032832,0.032320
scan,efficient,256,256,0,0.060672,0.059296
scan,efficient-unoptimized,256,256,0,0.062976,0.061248
scan,thrust,256,0,0,0.026592,0.024768
scan,shared-naive,256,128,0,0.018432,0.016928
scan,shared-efficient,256,128,0,0.013600,0.012288
scan,cpu,253,0,0,0.000150,0.000146
scan,naive,253,256,0,0.032768,0.031008
scan,efficient,253,256,0,0.058016,0.057312
scan,efficient-unoptimized,253,256,0,0.062944,0.061440
scan,thrust,253,0,0,0.027712,0.026592
scan,shared-naive,253,128,0,0.018432,0.017120
scan,shared-efficient,253,128,0,0.013792,0.012288
scan,cpu,512,0,0,0.000273,0.000267
scan,naive,512,256,0,0.035776,0.035040
scan,efficient,512,256,0,0.066976,0.064256
scan,efficient-unoptimized,512,256,0,0.068832,0.064480
scan,thrust,512,0,0,0.024960,0.024576
scan,shared-naive,512,128,0,0.018336,0.016960
scan,shared-efficient,512,128,0,0.022528,0.021184
scan,cpu,509,0,0,0.000272,0.000267
scan,naive,509,256,0,0.035392,0.034208
scan,efficient,509,256,0,0.065536,0.064032
scan,efficient-unoptimized,509,256,0,0.069600,0.068512
scan,thrust,509,0,0,0.028096,0.026848
scan,shared-naive,509,128,0,0.018432,0.017280
scan,shared-efficient,509,128,0,0.022176,0.021504
scan,cpu,1024,0,0,0.000538,0.000531
scan,naive,1024,256,0,0.038912,0.037472
scan,efficient,1024,256,0,0.073120,0.071680
scan,efficient-unoptimized,1024,256,0,0.076224,0.075104
scan,thrust,1024,0,0,0.026880,0.025440
scan,shared-naive,1024,128,0,0.018432,0.017952
scan,shared-efficient,1024,128,0,0.022528,0.021088
scan,cpu,1021,0,0,0.000525,0.000510
scan,naive,1021,256,0,0.038912,0.037088
scan,efficient,1021,256,0,0.073120,0.071296
scan,efficient-unoptimized,1021,256,0,0.075808,0.075776
scan,thrust,1021,0,0,0.029248,0.027072
scan,shared-naive,1021,128,0,0.017920,0.016832
scan,shared-efficient,1021,128,0,0.022528,0.021376
scan,cpu,2048,0,0,0.001024,0.000994
scan,naive,2048,256,0,0.042400,0.040960
scan,efficient,2048,256,0,0.081504,0.078336
scan,efficient-unoptimized,2048,256,0,0.081920,0.080448
scan,thrust,2048,0,0,0.027136,0.026624
scan,shared-naive,2048,128,0,0.016544,0.016256
scan,shared-efficient,2048,128,0,0.020576,0.020480
scan,cpu,2045,0,0,0.001018,0.001003
scan,naive,2045,256,0,0.042272,0.040960
scan,efficient,2045,256,0,0.081088,0.079872
scan,efficient-unoptimized,2045,256,0,0.087424,0.080896
scan,thrust,2045,0,0,0.030336,0.028992
scan,shared-naive,2045,128,0,0.016832,0.015968
scan,shared-efficient,2045,128,0,0.021152,0.020480
scan,cpu,4096,0,0,0.002203,0.002039
scan,naive,4096,256,0,0.043136,0.042336
scan,efficient,4096,256,0,0.090624,0.086016
scan,efficient-unoptimized,4096,256,0,0.087840,0.086528
scan,thrust,4096,0,0,0.029280,0.026624
scan,shared-naive,4096,128,0,0.016384,0.014976
scan,shared-efficient,4096,128,0,0.023424,0.022464
scan,cpu,4093,0,0,0.003126,0.003107
scan,naive,4093,256,0,0.043072,0.041504
scan,efficient,4093,256,0,0.088672,0.086784
scan,efficient-unoptimized,4093,256,0,0.089120,0.087232
scan,thrust,4093,0,0,0.029280,0.028000
