experiment,impl,n,blockSize,param,median_ms,min_ms
sort,cpu-std-sort,256,0,0,0.002898,0.002261
sort,radix,256,256,0,0.819200,0.807040
sort,thrust-sort,256,0,0,0.036960,0.035616
sort,cpu-std-sort,256,0,1,0.003694,0.002851
sort,radix,256,256,1,2.503840,2.449472
sort,thrust-sort,256,0,1,0.038912,0.037056
sort,cpu-std-sort,253,0,0,0.004144,0.003129
sort,radix,253,256,0,0.837632,0.825344
sort,thrust-sort,253,0,0,0.038688,0.037248
sort,cpu-std-sort,253,0,1,0.003800,0.002976
sort,radix,253,256,1,2.497152,2.414304
sort,thrust-sort,253,0,1,0.038912,0.037184
sort,cpu-std-sort,512,0,0,0.010852,0.008725
sort,radix,512,256,0,0.884544,0.876544
sort,thrust-sort,512,0,0,0.037600,0.036768
sort,cpu-std-sort,512,0,1,0.010354,0.007306
sort,radix,512,256,1,2.704192,2.678976
sort,thrust-sort,512,0,1,0.036928,0.036864
sort,cpu-std-sort,509,0,0,0.010522,0.007947
sort,radix,509,256,0,0.887040,0.870176
sort,thrust-sort,509,0,0,0.038912,0.037984
sort,cpu-std-sort,509,0,1,0.010024,0.007678
sort,radix,509,256,1,2.690560,2.666496
sort,thrust-sort,509,0,1,0.038912,0.037344
sort,cpu-std-sort,1024,0,0,0.034480,0.029081
sort,radix,1024,256,0,0.958464,0.946176
sort,thrust-sort,1024,0,0,0.038272,0.035552
sort,cpu-std-sort,1024,0,1,0.033837,0.028464
sort,radix,1024,256,1,2.840576,2.779296
sort,thrust-sort,1024,0,1,0.036864,0.036704
sort,cpu-std-sort,1021,0,0,0.031630,0.027389
sort,radix,1021,256,0,0.945984,0.929600
sort,thrust-sort,1021,0,0,0.040960,0.036864
sort,cpu-std-sort,1021,0,1,0.032769,0.028379
sort,radix,1021,256,1,2.928608,2.851968
sort,thrust-sort,1021,0,1,0.038912,0.037056
sort,cpu-std-sort,2048,0,0,0.087951,0.079479
sort,radix,2048,256,0,0.997024,0.991680
sort,thrust-sort,2048,0,0,0.036896,0.036800
sort,cpu-std-sort,2048,0,1,0.092486,0.080650
sort,radix,2048,256,1,3.053536,3.015456
sort,thrust-sort,2048,0,1,0.039808,0.038432
sort,cpu-std-sort,2045,0,0,0.084502,0.079875
sort,radix,2045,256,0,0.996320,0.963008
sort,thrust-sort,2045,0,0,0.038912,0.037248
sort,cpu-std-sort,2045,0,1,0.090971,0.076278
sort,radix,2045,256,1,3.084256,3.005152
sort,thrust-sort,2045,0,1,0.040192,0.038912
sort,cpu-std-sort,4096,0,0,0.197669,0.192535
sort,radix,4096,256,0,1.088352,1.069056
sort,thrust-sort,4096,0,0,0.038848,0.036960
sort,cpu-std-sort,4096,0,1,0.203882,0.199887
sort,radix,4096,256,1,3.260960,3.205120
sort,thrust-sort,4096,0,1,0.039232,0.037632
sort,cpu-std-sort,4093,0,0,0.200695,0.195890
sort,radix,4093,256,0,1.058784,1.021856
sort,thrust-sort,4093,0,0,0.040960,0.038912
sort,cpu-std-sort,4093,0,1,0.202128,0.198544
sort,radix,4093,256,1,3.307520,3.234176
sort,thrust-sort,4093,0,1,0.040928,0.039584
sort,cpu-std-sort,8192,0,0,0.399492,0.394196
sort,radix,8192,256,0,1.116320,1.104576
sort,thrust-sort,8192,0,0,0.073280,0.071680
sort,cpu-std-sort,8192,0,1,0.456588,0.444301
sort,radix,8192,256,1,3.444352,3.399680
sort,thrust-sort,8192,0,1,0.075968,0.073696
sort,cpu-std-sort,8189,0,0,0.421357,0.409882
sort,radix,8189,256,0,1.122592,1.108224
sort,thrust-sort,8189,0,0,0.075776,0.072384
sort,cpu-std-sort,8189,0,1,0.450264,0.428855
sort,radix,8189,256,1,3.426304,3.390752
sort,thrust-sort,8189,0,1,0.075776,0.073664
sort,cpu-std-sort,16384,0,0,0.835156,0.797626
sort,radix,16384,256,0,1.189728,1.171456
sort,thrust-sort,16384,0,0,0.073728,0.071968
sort,cpu-std-sort,16384,0,1,0.933502,0.892619
sort,radix,16384,256,1,3.567776,3.445088
sort,thrust-sort,16384,0,1,0.075744,0.073696
sort,cpu-std-sort,16381,0,0,0.815991,0.783929
sort,radix,16381,256,0,1.203008,1.170816
sort,thrust-sort,16381,0,0,0.090112,0.075776
sort,cpu-std-sort,16381,0,1,0.972753,0.946246
sort,radix,16381,256,1,3.611872,3.532800
sort,thrust-sort,16381,0,1,0.077344,0.075776
sort,cpu-std-sort,32768,0,0,1.584396,1.543217
sort,radix,32768,256,0,1.274144,1.219584
sort,thrust-sort,32768,0,0,0.077088,0.076224
sort,cpu-std-sort,32768,0,1,2.053124,1.937727
sort,radix,32768,256,1,3.813792,3.725664
sort,thrust-sort,32768,0,1,0.080928,0.078016
sort,cpu-std-sort,32765,0,0,1.669585,1.603284
sort,radix,32765,256,0,1.242816,1.206496
sort,thrust-sort,32765,0,0,0.081792,0.078336
sort,cpu-std-sort,32765,0,1,2.096274,2.074086
sort,radix,32765,256,1,3.948832,3.873792
sort,thrust-sort,32765,0,1,0.084704,0.081984
sort,cpu-std-sort,65536,0,0,3.385102,3.333615
sort,radix,65536,256,0,1.327872,1.280960
sort,thrust-sort,65536,0,0,0.080704,0.079136
sort,cpu-std-sort,65536,0,1,4.499174,4.387034
sort,radix,65536,256,1,4.082560,3.954048
sort,thrust-sort,65536,0,1,0.086880,0.085312
sort,cpu-std-sort,65533,0,0,3.204211,3.176008
sort,radix,65533,256,0,1.300416,1.295680
sort,thrust-sort,65533,0,0,0.084192,0.081184
sort,cpu-std-sort,65533,0,1,4.481827,4.406620
sort,radix,65533,256,1,4.108768,4.055168
sort,thrust-sort,65533,0,1,0.089120,0.085664
sort,cpu-std-sort,131072,0,0,6.647952,6.361491
sort,radix,131072,256,0,1.461568,1.403552
sort,thrust-sort,131072,0,0,0.090304,0.086848
